"GEO_ID","NAME","B19013B_001E","B19013B_001M","B19013B_001MA","B19013B_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"0500000US17019","Champaign County, Illinois","37488","4075","null","null",
"0500000US17031","Cook County, Illinois","42555","2061","null","null",
"0500000US17037","DeKalb County, Illinois","21043","19898","null","null",
"0500000US17043","DuPage County, Illinois","49318","8090","null","null",
"0500000US17089","Kane County, Illinois","56328","14882","null","null",
"0500000US17091","Kankakee County, Illinois","27809","10002","null","null",
"0500000US17093","Kendall County, Illinois","72447","36104","null","null",
"0500000US17097","Lake County, Illinois","53288","10578","null","null",
"0500000US17099","LaSalle County, Illinois","null","null","null","null",
"0500000US17111","McHenry County, Illinois","37102","27758","null","null",
"0500000US17113","McLean County, Illinois","31844","8356","null","null",
"0500000US17115","Macon County, Illinois","22634","7664","null","null",
"0500000US17119","Madison County, Illinois","40235","7289","null","null",
"0500000US17143","Peoria County, Illinois","30447","3124","null","null",
"0500000US17161","Rock Island County, Illinois","40134","16264","null","null",
"0500000US17163","St. Clair County, Illinois","43933","6280","null","null",
"0500000US17167","Sangamon County, Illinois","16499","4597","null","null",
"0500000US17179","Tazewell County, Illinois","-","**","**","-",
"0500000US17183","Vermilion County, Illinois","27173","13245","null","null",
"0500000US17197","Will County, Illinois","74496","14973","null","null",
"0500000US17199","Williamson County, Illinois","null","null","null","null",
"0500000US17201","Winnebago County, Illinois","35763","9859","null","null",
